info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-precise-12_04_3-LTS-amd64-server-20131226-en-us-30GB           Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-precise-12_04_3-LTS-amd64-server-20140102-en-us-30GB           Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-precise-12_04_3-LTS-amd64-server-20140106-en-us-30GB           Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-precise-12_04_3-LTS-amd64-server-20140109-en-us-30GB           Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-quantal-12_10-amd64-server-20131225-en-us-30GB                 Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-quantal-12_10-amd64-server-20131229-en-us-30GB                 Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-quantal-12_10-amd64-server-20140101-en-us-30GB                 Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-quantal-12_10-amd64-server-20140105-en-us-30GB                 Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-quantal-12_10-amd64-server-20140108-en-us-30GB                 Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-raring-13_04-amd64-server-20131231-en-us-30GB                  Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-raring-13_04-amd64-server-20140104-en-us-30GB                  Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-raring-13_04-amd64-server-20140107-en-us-30GB                  Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-saucy-13_10-amd64-server-20131225-en-us-30GB                   Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-saucy-13_10-amd64-server-20131229-en-us-30GB                   Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-saucy-13_10-amd64-server-20140105-en-us-30GB                   Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-saucy-13_10-amd64-server-20140108-en-us-30GB                   Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-trusty-14_04-LTS-amd64-server-20140108-en-us-30GB              Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-trusty-14_04-LTS-amd64-server-20140109-en-us-30GB              Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-trusty-14_04-LTS-amd64-server-20140110-en-us-30GB              Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-trusty-14_04-LTS-amd64-server-20140110.1-en-us-30GB            Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-trusty-14_04-LTS-amd64-server-20140111-en-us-30GB              Canonical                                  Linux  
data:    b4590d9e3ed742e4a1d46e5424aa335e__SUSE-Linux-Enterprise-Server-11-SP2-v201                                          SUSE                                       Linux  
data:    b4590d9e3ed742e4a1d46e5424aa335e__SUSE-Linux-Enterprise-Server-11-SP3-v201                                          SUSE                                       Linux  
data:    b4590d9e3ed742e4a1d46e5424aa335e__openSUSE-12.3-v121                                                                SUSE                                       Linux  
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-iis75-v5.8.8                                    RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-iis75-v5.8.8.11                                 RightScale with Windows Server             Windows
